Date,Open,High,Low,Close,Volume,Adj Close
2008-01-29,714.00,721.40,697.20,713.50,944900,642.17
2008-01-28,704.00,704.00,669.00,695.00,824300,625.52
2008-01-25,700.00,719.00,675.00,709.95,1475100,638.97
2008-01-24,715.00,740.00,651.20,677.00,2540700,609.31
2008-01-23,710.00,723.95,685.00,690.00,2256200,621.02
2008-01-22,696.00,859.60,538.00,682.00,3592100,613.81
2008-01-21,777.00,780.00,626.00,729.00,3760200,656.12
2008-01-18,810.65,818.80,770.25,780.00,2108400,702.02
2008-01-17,829.50,829.50,805.00,807.40,3258500,726.68
2008-01-16,860.00,860.00,802.25,820.20,2950100,738.20
2008-01-15,859.00,863.90,836.00,851.00,1756900,765.92
2008-01-14,921.50,921.50,833.15,837.00,1622100,753.32
2008-01-11,854.15,865.75,831.50,857.00,1342900,771.32
2008-01-10,920.00,920.00,850.00,857.00,1391800,771.32
2008-01-09,885.00,907.40,875.90,892.20,1238900,803.00
2008-01-08,935.00,937.65,876.65,889.05,2172000,800.16
2008-01-07,913.00,949.00,913.00,924.80,920000,832.34
2008-01-04,939.70,943.15,924.10,934.00,934600,840.62
2008-01-03,939.00,939.00,917.60,926.00,1490200,833.42
2008-01-02,935.00,940.00,900.65,930.30,1518500,837.29
2008-01-01,939.00,957.00,928.90,932.00,1361000,838.82
2007-12-31,935.00,947.25,906.10,932.10,1530900,838.91
2007-12-28,870.65,936.50,870.65,931.50,2188300,838.37
2007-12-27,906.00,913.25,891.00,909.35,3096900,818.43
2007-12-26,875.40,897.90,868.40,892.00,1364600,802.82
2007-12-24,839.00,867.35,832.00,863.00,1833300,776.72
2007-12-20,829.95,835.90,821.00,824.00,1675000,741.62
2007-12-19,826.90,843.40,802.35,827.00,2281100,744.32
2007-12-18,844.90,844.90,813.40,818.50,2485000,736.67
2007-12-17,877.00,885.00,815.00,823.35,1635400,741.03
2007-12-14,894.50,908.90,873.05,877.00,3273200,789.32
2007-12-13,870.00,899.95,866.25,888.00,4198500,799.22
2007-12-12,835.40,867.00,825.50,865.00,4342700,778.52
2007-12-11,838.40,851.00,832.50,835.00,1543600,751.52
2007-12-10,832.00,841.00,830.00,832.10,843300,748.91
2007-12-07,856.00,864.00,826.20,834.80,1358800,751.34
2007-12-06,875.00,879.40,843.60,845.00,928500,760.52
2007-12-05,875.00,882.90,857.50,863.00,2103200,776.72
2007-12-04,844.00,877.00,844.00,873.00,2261900,785.72
2007-12-03,830.00,845.00,828.00,844.80,859200,760.34
2007-11-30,805.00,829.50,805.00,824.20,1034800,741.80
2007-11-29,832.00,847.50,790.05,801.00,2433400,720.92
2007-11-28,890.00,899.90,805.00,810.25,1524200,729.24
2007-11-27,850.00,862.90,841.35,845.00,1529100,760.52
2007-11-26,839.50,857.50,812.65,856.00,1699400,770.42
2007-11-23,800.65,880.00,790.00,815.00,928100,733.52
2007-11-22,899.90,899.90,784.75,824.50,1898200,742.07
